"ID","Purchase-date","Date","Time","Quarter","Qtr","Year","Month","Date","Special Day","Online Sale Offers ","Day","Weekend","Morning","Afternoon","Evening","Night","Gender","Customer ID","Gender
F=1665
M=1815","Product-Name","Item-Status","Quantity","Currency","Item Price","Shipping-Price","Ship-City","Ship-State","Ship-Postal-Code","Category","Total_
amount","Author ","Publication","Profit Percentage
 (%)","Profit (INR)","Cost Price","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"13","2018-01-06T14:41:53+00:00","1/6/2018","2:41 PM","2018 - Q1","1","2018","1","6","0","0","6","1","0","1","0","0","1","B07FWYXZX","F","Principles of Microeconomics( 21st Revised Edition)(By Dr.H.L.AHUJA)","Shipped","1","INR","645","85","BHUBANESWAR","ODISHA","751024","college","730","Dr.H.L.AHUJA","S.Chand (G/L) & Company Ltd","13","83.85","561.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14","2018-01-07T06:01:58+00:00","1/7/2018","6:01 AM","2018 - Q1","1","2018","1","7","0","0","7","1","1","0","0","0","0","B07FWYVTZ","M","A Text Book of Optics","Shipped","1","INR","565","85","NAVI MUMBAI","MAHARASHTRA","400706","college","650","N Subrahmanyam","S. Chand Publishing","13","73.45","491.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15","2018-01-07T06:41:35+00:00","1/7/2018","6:41 AM","2018 - Q1","1","2018","1","7","0","0","7","1","1","0","0","0","0","B07FWVYWQ","M","A Textbook of Microbiology","Shipped","1","INR","543","85","AJMER","RAJASTHAN","305801","college","628","D. K. Maheshwari"," Arise Publishers & Distributors ","13","70.59","472.41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16","2018-01-07T16:22:53+00:00","1/7/2018","4:22 PM","2018 - Q1","1","2018","1","7","0","0","7","1","0","0","1","0","1","B07FWYTRU","F","Database System Concepts (Int'l Ed)","Shipped","1","INR","999","85","SURAT","GUJARAT","395007","college","1084","Avi Silberschatz","McGraw-Hill","13","129.87","869.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","2018-01-08T06:50:08+00:00","1/8/2018","6:50 AM","2018 - Q1","1","2018","1","8","0","0","1","0","1","0","0","0","1","B07FWXWVY","F","Database System Concepts (Int'l Ed)","Shipped","1","INR","999","85","SHIMLA","HIMACHAL PRADESH","171001","college","1084","Avi Silberschatz","McGraw-Hill","13","129.87","869.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18","2018-01-08T10:42:50+00:00","1/8/2018","10:42 AM","2018 - Q1","1","2018","1","8","0","0","1","0","1","0","0","0","1","B07FWXSZQ","F","ESE 2019 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 1","Shipped","1","INR","610","85","NAGPUR","MAHARASHTRA","440016","competition ","695","T K V Iyengar","ZONE TECH Publications ","17","103.7","506.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"19","2018-01-08T10:44:06+00:00","1/8/2018","10:44 AM","2018 - Q1","1","2018","1","8","0","0","1","0","1","0","0","0","1","B07FWYZWR","F","ESE 2020 Mains Examination: Electronics & Telecommunication Engineering - Conventional Solved Papers - Paper - 2","Shipped","1","INR","450","85","BENGALURU","KARNATAKA","560037","competition ","535","Made Easy Editorial Board","Made Easy Publications","17","76.5","373.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"20","2018-01-08T13:09:33+00:00","1/8/2018","1:09 PM","2018 - Q1","1","2018","1","8","0","0","1","0","0","1","0","0","0","B07FWWWZU","M","ESE 2020 Mains Examination: Electrical Engineering - Conventional Solved Papers - Paper - 2","Shipped","1","INR","640","85","BENGALURU","KARNATAKA","560074","competition ","725","Team of Engineers Academy"," Engineers Academy Publication","17","108.8","531.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"21","2018-01-08T15:02:24+00:00","1/8/2018","3:02 PM","2018 - Q1","1","2018","1","8","0","0","1","0","0","1","0","0","0","B07FWVVTW","M","A Text Book of Optics","Shipped","1","INR","565","85","BENGALURU","KARNATAKA","560087","college","650","N Subrahmanyam","S. Chand Publishing","13","73.45","491.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"22","2018-01-08T19:04:11+00:00","1/8/2018","7:04 PM","2018 - Q1","1","2018","1","8","0","0","1","0","0","0","1","0","1","B07FWYWQV","F","ESE 2020 Mains Examination: Civil Engineering - Conventional Solved Papers - Paper - 1","Shipped","1","INR","690","85","NASHIK","MAHARASHTRA","422013","competition ","775","Made Easy","Made Easy Publications","17","117.3","572.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23","2018-01-09T04:00:01+00:00","1/9/2018","4:00 AM","2018 - Q1","1","2018","1","9","0","0","2","0","0","0","0","1","0","B07FWXVXV","M","Database System Concepts (Int'l Ed)","Shipped","1","INR","999","85","BENGALURU","KARNATAKA","560071","college","1084","Avi Silberschatz","McGraw-Hill","13","129.87","869.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"24","2018-01-09T09:08:13+00:00","1/9/2018","9:08 AM","2018 - Q1","1","2018","1","9","0","0","2","0","1","0","0","0","1","B07FWWUVR","F","Uchchatar Aarthik Siddhanth","Shipped","1","INR","485","85","NEW DELHI","DELHI","110039","college","570","H. L. Ahuja","S. Chand Publishing","13","63.05","421.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25","2018-01-09T11:30:13+00:00","1/9/2018","11:30 AM","2018 - Q1","1","2018","1","9","0","0","2","0","1","0","0","0","1","B07FWXUQW","F","Human Anatomy By B D Chaurasia's 7th Edition (Set Of 4 Books) Vol-1,2,3&4Â Â (Paperback, BD Chaurasia's)","Shipped","1","INR","1480","85","ERODE","TAMIL NADU","638011","college","1565","B D Chaurasia","CBS PUBLISHERS &DISTRIBUTORS","13","192.4","1287.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"26","2018-01-09T11:49:30+00:00","1/9/2018","11:49 AM","2018 - Q1","1","2018","1","9","0","0","2","0","1","0","0","0","1","B07FWXSXX","F","Human Anatomy By B D Chaurasia's 7th Edition (Set Of 4 Books) Vol-1,2,3&4Â Â (Paperback, BD Chaurasia's)","Shipped","1","INR","1480","85","TIRUCHIRAPPALLI","TAMIL NADU","620012","college","1565","B D Chaurasia","CBS PUBLISHERS &DISTRIBUTORS","13","192.4","1287.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27","2018-01-09T12:45:52+00:00","1/9/2018","12:45 PM","2018 - Q1","1","2018","1","9","0","0","2","0","0","1","0","0","0","B07FWWTSR","M","English Grammar for Today: A New Introduction","Shipped","1","INR","959","85","MUMBAI","MAHARASHTRA","401101","School","1044","Geoffrey Leech","Palgrave Macmillan","18","172.62","786.38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"28","2018-01-10T08:06:27+00:00","1/10/2018","8:06 AM","2018 - Q1","1","2018","1","10","0","0","3","0","1","0","0","0","0","B07FWWWVX","M","Chronicle Year Book 2020 (English)","Shipped","1","INR","260","85","JORHAT","ASSAM","785001","competition ","345","Nn Ojha","Chronicle Publications Pvt Ltd","17","44.2","215.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"29","2018-01-10T09:37:22+00:00","1/10/2018","9:37 AM","2018 - Q1","1","2018","1","10","0","0","3","0","1","0","0","0","0","B07FWVVTS","M","ESE 2019 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 1","Shipped","1","INR","610","85","GURGAON","HARYANA","122015","competition ","695","T K V Iyengar","ZONE TECH Publications ","17","103.7","506.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30","2018-01-10T10:20:08+00:00","1/10/2018","10:20 AM","2018 - Q1","1","2018","1","10","0","0","3","0","1","0","0","0","0","B07FWXWYU","M","ESE 2019 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 1","Shipped","1","INR","610","85","SALEM","TAMIL NADU","636306","competition ","695","T K V Iyengar","ZONE TECH Publications ","17","103.7","506.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"31","2018-01-11T06:10:59+00:00","1/11/2018","6:10 AM","2018 - Q1","1","2018","1","11","0","0","4","0","1","0","0","0","1","B07FWYTVQ","F","39 Years' Chapterwise Topicwise Solved Papers (2020-1979) IIT JEE Mathematics","Shipped","1","INR","200","85","ERNAKULAM","KERALA","682015","competition ","285"," Amit M Agarwal"," Arihant  (Publication)","17","34","166","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"32","2018-01-11T07:19:24+00:00","1/11/2018","7:19 AM","2018 - Q1","1","2018","1","11","0","0","4","0","1","0","0","0","1","B07FWVWYU","F","Database Systems Concepts","Shipped","1","INR","910","85","HANUMANGARH","RAJASTHAN","335512","college","995","S. Sudarshan","McGraw-Hill","13","118.3","791.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"33","2018-01-11T18:23:13+00:00","1/11/2018","6:23 PM","2018 - Q1","1","2018","1","11","0","0","4","0","0","0","1","0","0","B07FWYYST","M","ESE 2019 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 1","Shipped","1","INR","610","85","BILASPUR","CHHATTISGARH","495001","competition ","695","T K V Iyengar","ZONE TECH Publications ","17","103.7","506.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34","2018-01-12T02:39:11+00:00","1/12/2018","2:39 AM","2018 - Q1","1","2018","1","12","0","0","5","0","0","0","0","1","1","B07FWWBVW","F","Public Finance","Shipped","1","INR","465","85","secunderabad","Telangana","500100","college","550","Dr H L Bhatia","Vikas Publishing","13","60.45","404.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35","2018-01-12T04:30:42+00:00","1/12/2018","4:30 AM","2018 - Q1","1","2018","1","12","0","0","5","0","0","0","0","1","1","B07FWWTSZ","F","ESE 2019 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 1","Shipped","1","INR","610","85","PARATAPPUR","CHHATTISGARH","497223","competition ","695","T K V Iyengar","ZONE TECH Publications ","17","103.7","506.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36","2018-01-12T05:26:05+00:00","1/12/2018","5:26 AM","2018 - Q1","1","2018","1","12","0","0","5","0","0","0","0","1","1","B07FWWTWR","F","Database System Concepts (Int'l Ed)","Shipped","1","INR","999","85","KOTDWARA","UTTARAKHAND","246149","college","1084","Avi Silberschatz","McGraw-Hill","13","129.87","869.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37","2018-01-12T05:56:56+00:00","1/12/2018","5:56 AM","2018 - Q1","1","2018","1","12","0","0","5","0","0","0","0","1","1","B07FWVYWZ","F","English Grammar for Today: A New Introduction","Shipped","1","INR","959","85","NAVI MUMBAI","MAHARASHTRA","400706","School","1044","Geoffrey Leech","Palgrave Macmillan","18","172.62","786.38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38","2018-01-12T07:09:35+00:00","1/12/2018","7:09 AM","2018 - Q1","1","2018","1","12","0","0","5","0","1","0","0","0","1","B07FWWBQX","F","Political Theory","Shipped","1","INR","425","85","GREATER NOIDA","UTTAR PRADESH","201306","college","510","Dr. Mohinder Slariya ","S. Vinesh & Co","13","55.25","369.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"39","2018-01-12T07:50:25+00:00","1/12/2018","7:50 AM","2018 - Q1","1","2018","1","12","0","0","5","0","1","0","0","0","1","B07FWXYZS","F","Principles of Microeconomics( 21st Revised Edition)(By Dr.H.L.AHUJA)","Shipped","1","INR","645","85","MUMBAI","MAHARASHTRA","400005","college","730","Dr.H.L.AHUJA","S.Chand (G/L) & Company Ltd","13","83.85","561.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"40","2018-01-12T07:57:57+00:00","1/12/2018","7:57 AM","2018 - Q1","1","2018","1","12","0","0","5","0","1","0","0","0","1","B07FWVBUV","F","ESE 2019 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 1","Shipped","1","INR","610","85","KHAMMAM","TELANGANA","507002","competition ","695","T K V Iyengar","ZONE TECH Publications ","17","103.7","506.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41","2018-01-12T07:57:57+00:00","1/12/2018","7:57 AM","2018 - Q1","1","2018","1","12","0","0","5","0","1","0","0","0","1","B07FWYUWS","F","ESE 2019 Preliminary Exam: Civil Engineering - Topicwise Objective Solved Papers - Vol. 2","Shipped","1","INR","615","85","KHAMMAM","TELANGANA","507002","competition ","700","Made Easy Editorial Board","Made Easy Publication","17","104.55","510.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42","2018-01-12T09:45:02+00:00","1/12/2018","9:45 AM","2018 - Q1","1","2018","1","12","0","0","5","0","1","0","0","0","0","B07FWYVTY","M","Public Finance","Shipped","1","INR","465","85","DEHRADUN","UTTARAKHAND","248001","college","550","Dr H L Bhatia","Vikas Publishing","13","60.45","404.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43","2018-01-13T03:23:04+00:00","1/13/2018","3:23 AM","2018 - Q1","1","2018","1","13","0","0","6","1","0","0","0","1","1","B07FWXWXW","F","Political Theory","Shipped","1","INR","425","85","HYDERABAD","TELANGANA","500039","college","510","Dr. Mohinder Slariya ","S. Vinesh & Co","13","55.25","369.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44","2018-01-13T05:29:38+00:00","1/13/2018","5:29 AM","2018 - Q1","1","2018","1","13","0","0","6","1","0","0","0","1","1","B07FWWWZV","F","39 Years' Chapterwise Topicwise Solved Papers IIT JEE Mathematics, Chemistry, Physics","Shipped","1","INR","768","85","KOTTAYAM","KERALA","686544","competition ","853","Arihant Expert","Arihant Publications","17","130.56","637.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45","2018-01-13T10:50:58+00:00","1/13/2018","10:50 AM","2018 - Q1","1","2018","1","13","0","0","6","1","1","0","0","0","0","B07FWXYTR","M","ESE 2020 Mains Examination: Electrical Engineering - Conventional Solved Papers - Paper - 2","Shipped","1","INR","640","85","AMRAVATI","MAHARASHTRA","444607","competition ","725","Team of Engineers Academy"," Engineers Academy Publication","17","108.8","531.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"46","2018-01-14T11:05:04+00:00","1/14/2018","11:05 AM","2018 - Q1","1","2018","1","14","0","0","7","1","1","0","0","0","1","B07FWXBXU","F","39 Years' Chapterwise Topicwise Solved Papers (2020-1979) IIT JEE Chemistry","Shipped","1","INR","175","85","NAGPUR","MAHARASHTRA","440001","competition ","260"," Ranjeet Shahi ","Arihant Publications","17","29.75","145.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"47","2018-01-14T13:38:06+00:00","1/14/2018","1:38 PM","2018 - Q1","1","2018","1","14","0","0","7","1","0","1","0","0","0","B07FWXYVT","M","English Grammar for Today: A New Introduction","Shipped","1","INR","959","85","PALI","RAJASTHAN","306502","School","1044","Geoffrey Leech","Palgrave Macmillan","18","172.62","786.38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"48","2018-01-15T01:57:19+00:00","1/15/2018","1:57 AM","2018 - Q1","1","2018","1","15","0","0","1","0","0","0","0","1","0","B07FWYBZQ","M","39 Years' Chapterwise Topicwise Solved Papers (2020-1979) IIT JEE Chemistry","Shipped","1","INR","175","85","TIRUPPUR","TAMIL NADU","641603","competition ","260"," Ranjeet Shahi ","Arihant Publications","17","29.75","145.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"49","2018-01-15T03:15:24+00:00","1/15/2018","3:15 AM","2018 - Q1","1","2018","1","15","0","0","1","0","0","0","0","1","1","B07FWYTZV","F","Ordinary and Partial Differential Equations","Shipped","1","INR","899","85","UDHAM SINGH NAGAR","UTTARAKHAND","263153","college","984"," M.D. Raisinghania","S. Chand Publishing","13","116.87","782.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"50","2018-01-15T03:40:40+00:00","1/15/2018","3:40 AM","2018 - Q1","1","2018","1","15","0","0","1","0","0","0","0","1","0","B07FWXYYR","M","39 Years' Chapterwise Topicwise Solved Papers IIT JEE Mathematics, Chemistry, Physics","Shipped","1","INR","768","85","COIMBATORE","TAMIL NADU","641041","competition ","853","Arihant Expert","Arihant Publications","17","130.56","637.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"51","2018-01-15T03:59:26+00:00","1/15/2018","3:59 AM","2018 - Q1","1","2018","1","15","0","0","1","0","0","0","0","1","1","B07FWXVVT","F","39 Years' Chapterwise Topicwise Solved Papers IIT JEE Mathematics, Chemistry, Physics","Shipped","1","INR","768","85","VIRAR WEST","MAHARASHTRA","401303","competition ","853","Arihant Expert","Arihant Publications","17","130.56","637.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"52","2018-01-15T04:33:30+00:00","1/15/2018","4:33 AM","2018 - Q1","1","2018","1","15","0","0","1","0","0","0","0","1","0","B07FWWBRT","M","39 Years' Chapterwise Topicwise Solved Papers IIT JEE Mathematics, Chemistry, Physics","Shipped","1","INR","768","85","KOTA","RAJASTHAN","324005","competition ","853","Arihant Expert","Arihant Publications","17","130.56","637.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"53","2018-01-15T04:48:23+00:00","1/15/2018","4:48 AM","2018 - Q1","1","2018","1","15","0","0","1","0","0","0","0","1","1","B07FWWSZU","F","Ordinary and Partial Differential Equations","Shipped","1","INR","899","85","BHILAI","CHHATTISGARH","490011","college","984"," M.D. Raisinghania","S. Chand Publishing","13","116.87","782.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"54","2018-01-15T05:39:08+00:00","1/15/2018","5:39 AM","2018 - Q1","1","2018","1","15","0","0","1","0","0","0","0","1","0","B07FWXYYW","M","Ordinary and Partial Differential Equations","Shipped","1","INR","899","85","KADAPA","ANDHRA PRADESH","516001","college","984"," M.D. Raisinghania","S. Chand Publishing","13","116.87","782.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"55","2018-01-15T10:54:51+00:00","1/15/2018","10:54 AM","2018 - Q1","1","2018","1","15","0","0","1","0","1","0","0","0","0","B07FWWWQW","M","Public Finance","Shipped","1","INR","465","85","KISHANGARH","RAJASTHAN","305801","college","550","Dr H L Bhatia","Vikas Publishing","13","60.45","404.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"56","2018-01-15T11:18:53+00:00","1/15/2018","11:18 AM","2018 - Q1","1","2018","1","15","0","0","1","0","1","0","0","0","0","B07FWWAXS","M","Ordinary and Partial Differential Equations","Shipped","1","INR","899","85","BILASPUR","CHATTISGARH","495001","college","984"," M.D. Raisinghania","S. Chand Publishing","13","116.87","782.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"57","2018-01-15T13:57:40+00:00","1/15/2018","1:57 PM","2018 - Q1","1","2018","1","15","0","0","1","0","0","1","0","0","0","B07FWYTUW","M","Political Theory","Shipped","1","INR","425","85","JORHAT","ASSAM","785001","college","510","Dr. Mohinder Slariya ","S. Vinesh & Co","13","55.25","369.75","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58","2018-01-15T14:36:22+00:00","1/15/2018","2:36 PM","2018 - Q1","1","2018","1","15","0","0","1","0","0","1","0","0","0","B07FWYYYR","M","COMPREHENSIVE TEXTBOOK OF MEDICAL PHYSIOLOGY (2VOLS)","Shipped","1","INR","1250","85","NEW DELHI","DELHI","110062","college","1335","G K Pal","Jaypee Brothers","13","162.5","1087.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"59","2018-01-15T15:47:52+00:00","1/15/2018","3:47 PM","2018 - Q1","1","2018","1","15","0","0","1","0","0","1","0","0","0","B07FWWAZW","M","Ordinary and Partial Differential Equations","Shipped","1","INR","899","85","NAVI MUMBAI","MAHARASHTRA","400709","college","984"," M.D. Raisinghania","S. Chand Publishing","13","116.87","782.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","2018-01-15T17:46:34+00:00","1/15/2018","5:46 PM","2018 - Q1","1","2018","1","15","0","0","1","0","0","0","1","0","1","B07FWXXVY","F","Ordinary and Partial Differential Equations","Shipped","1","INR","899","85","MUMBAI","MAHARASHTRA","400076","college","984"," M.D. Raisinghania","S. Chand Publishing","13","116.87","782.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"61","2018-01-16T13:54:24+00:00","1/16/2018","1:54 PM","2018 - Q1","1","2018","1","16","0","0","2","0","0","1","0","0","0","B07FWYVTV","M","Ordinary and Partial Differential Equations","Shipped","1","INR","899","85","JORHAT","ASSAM","785001","college","984"," M.D. Raisinghania","S. Chand Publishing","13","116.87","782.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"62","2018-01-17T04:18:18+00:00","1/17/2018","4:18 AM","2018 - Q1","1","2018","1","17","0","0","3","0","0","0","0","1","1","B07FWYBZU","F","Public Finance","Shipped","1","INR","465","85","MOTIHARI","BIHAR","845401","college","550","Dr H L Bhatia","Vikas Publishing","13","60.45","404.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"63","2018-01-17T08:25:54+00:00","1/17/2018","8:25 AM","2018 - Q1","1","2018","1","17","0","0","3","0","1","0","0","0","0","B07FWWSXY","M","Public Finance","Shipped","1","INR","465","85","BINOLA INDUSTRIAL AREA","HARYANA","122413","college","550","Dr H L Bhatia","Vikas Publishing","13","60.45","404.55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64","2018-01-17T11:53:10+00:00","1/17/2018","11:53 AM","2018 - Q1","1","2018","1","17","0","0","3","0","1","0","0","0","1","B07FWYYWW","F","Ordinary and Partial Differential Equations","Shipped","1","INR","899","85","NARSINGHPUR","MADHYA PRADESH","487770","college","984"," M.D. Raisinghania","S. Chand Publishing","13","116.87","782.13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
